emp_no,dept_no,from_date,to_date
10699,d001,2011-07-27,9999-01-01
10700,d004,1990-01-30,9999-01-01
10701,d005,1996-07-03,2004-04-23
10702,d008,1990-01-04,9999-01-01
10703,d007,2014-04-18,9999-01-01
10704,d006,1997-03-02,9999-01-01
10705,d003,1995-05-31,9999-01-01
10706,d005,2011-03-25,9999-01-01
10707,d009,2006-11-30,9999-01-01
10708,d004,2005-03-21,2015-06-04
10709,d006,1999-10-19,9999-01-01
10710,d007,2005-01-30,9999-01-01
10711,d007,1992-09-03,9999-01-01
10712,d003,2003-03-19,9999-01-01
10713,d005,2013-02-12,9999-01-01
10714,d007,2005-06-23,9999-01-01
10715,d007,1990-11-08,2001-02-27
10716,d007,1990-09-12,9999-01-01
10717,d002,1994-11-09,9999-01-01
10718,d005,2002-05-24,2019-05-29
10719,d002,2001-12-03,9999-01-01
10720,d005,2002-08-31,9999-01-01
10721,d004,1994-08-16,9999-01-01
10722,d007,2003-09-17,9999-01-01
10723,d002,1993-07-27,9999-01-01
10724,d004,2011-02-04,2015-03-07
10725,d002,2013-04-07,9999-01-01
10726,d005,2008-05-12,2017-05-04
10727,d008,2001-10-10,9999-01-01
10728,d006,1994-12-14,9999-01-01
10729,d009,2004-05-20,9999-01-01
10730,d007,2001-05-23,9999-01-01
10731,d004,1997-07-05,2014-11-14
10732,d007,1997-12-11,9999-01-01
10733,d004,1991-07-04,9999-01-01
10734,d008,2009-04-19,9999-01-01
10735,d005,1991-05-02,2016-04-06
10736,d004,2003-11-07,9999-01-01
10737,d004,1995-12-24,9999-01-01
10738,d008,2004-09-01,9999-01-01
10739,d007,2004-02-19,2017-01-06
10740,d004,1994-03-04,9999-01-01
10741,d003,2006-02-13,9999-01-01
10742,d008,2006-08-23,9999-01-01
10743,d001,1996-04-20,9999-01-01
10744,d005,2012-09-05,9999-01-01
10745,d009,2010-01-10,9999-01-01
10746,d003,2004-08-16,2008-04-26
10747,d005,2007-08-23,9999-01-01
10748,d009,2009-03-08,9999-01-01
10749,d003,1990-05-01,2014-03-31
10750,d004,2004-12-21,9999-01-01
10751,d002,2002-02-08,9999-01-01
10752,d002,2012-08-05,9999-01-01
10753,d004,1992-05-24,9999-01-01
10754,d005,1995-08-03,2005-08-01
10755,d004,1997-10-21,2001-08-18
10756,d001,2013-04-20,9999-01-01
10757,d003,1993-12-19,2007-04-05
10758,d008,1994-11-20,9999-01-01
10759,d005,2013-05-06,9999-01-01
10760,d005,2014-09-06,9999-01-01
10761,d008,1998-04-24,9999-01-01
10762,d004,2009-03-25,2016-10-23
10763,d002,2010-02-03,9999-01-01
10764,d009,2001-03-02,9999-01-01
10765,d004,1994-07-29,9999-01-01
10766,d005,2009-08-10,9999-01-01
10767,d001,2007-02-10,9999-01-01
10768,d007,2011-04-07,9999-01-01
10769,d009,1993-09-04,9999-01-01
10770,d005,1995-11-02,9999-01-01
10771,d009,2013-06-22,9999-01-01
10772,d007,2014-06-16,9999-01-01
10773,d002,1994-10-24,9999-01-01
10774,d003,2014-12-16,9999-01-01
10775,d005,2000-04-19,9999-01-01
10776,d009,2010-05-15,9999-01-01
10777,d004,1998-01-29,9999-01-01
10778,d006,2013-12-23,2020-02-27
10779,d003,2007-11-12,9999-01-01
10780,d005,1998-09-08,9999-01-01
10781,d001,2005-06-15,9999-01-01
10782,d003,2004-05-21,9999-01-01
10783,d002,1990-01-26,9999-01-01
10784,d004,1998-06-12,9999-01-01
10785,d004,2011-08-07,2012-12-06
10786,d005,2001-12-04,9999-01-01
10787,d001,2006-11-18,9999-01-01
10788,d008,1992-02-18,9999-01-01
10789,d008,2003-11-07,2023-12-28
10790,d004,2013-05-06,9999-01-01
10791,d005,1996-07-14,9999-01-01
10792,d005,2002-12-06,2018-05-16
10793,d005,1993-10-23,2012-02-04
10794,d004,1995-08-02,9999-01-01
10795,d004,2007-08-02,9999-01-01
10796,d007,1995-02-06,9999-01-01
10797,d007,2013-05-02,9999-01-01
10798,d007,1994-06-04,2007-08-09
10799,d006,2004-05-26,2024-02-26
10800,d007,2007-12-31,2017-11-09
10801,d008,2012-10-12,2014-08-12
10802,d005,1990-02-15,2010-04-26
10803,d004,1992-10-08,9999-01-01
10804,d009,1996-07-16,9999-01-01
10805,d001,1997-05-22,2013-02-02
10806,d003,1997-03-03,9999-01-01
10807,d004,1990-08-28,2021-10-14
10808,d005,2009-03-31,2016-12-02
10809,d005,1998-06-02,9999-01-01
10810,d009,2009-09-08,9999-01-01
10811,d005,2008-11-28,9999-01-01
10812,d009,2014-04-09,9999-01-01
10813,d007,1999-04-23,9999-01-01
10814,d007,1996-05-08,2017-02-06
10815,d001,2014-08-24,2017-01-24
10816,d006,2004-06-09,9999-01-01
10817,d002,2001-04-09,9999-01-01
10818,d005,1991-06-03,9999-01-01
10819,d007,1997-01-01,9999-01-01
10820,d005,1991-12-01,2021-08-27
10821,d009,2001-06-19,9999-01-01
10822,d007,2013-08-06,9999-01-01
10823,d009,1990-04-05,9999-01-01
10824,d003,1997-02-08,9999-01-01
10825,d009,2000-11-12,9999-01-01
10826,d008,1991-11-26,9999-01-01
10827,d005,1998-05-24,2013-08-09
10828,d008,2006-06-12,9999-01-01
10829,d007,2002-09-12,9999-01-01
10830,d004,2010-08-01,9999-01-01
10831,d004,1995-01-06,9999-01-01
10832,d005,1993-05-02,2017-06-14
10833,d009,1998-01-08,9999-01-01
10834,d007,2008-12-04,9999-01-01
10835,d001,1997-06-02,9999-01-01
10836,d005,1997-10-20,9999-01-01
10837,d003,1995-08-12,2009-04-30
10838,d009,1994-04-02,9999-01-01
10839,d004,1990-10-10,9999-01-01
10840,d004,2012-11-21,2016-10-12
10841,d006,2010-11-17,2021-10-26
10842,d003,2007-07-05,9999-01-01
10843,d003,1997-05-13,2008-03-22
10844,d009,1994-08-20,9999-01-01
10845,d004,2011-01-21,9999-01-01
10846,d001,2001-05-31,9999-01-01
10847,d008,1997-01-12,2011-08-10
10848,d002,1991-04-18,9999-01-01
10849,d006,1995-09-20,9999-01-01
10850,d007,2010-12-24,9999-01-01
10851,d005,2003-09-05,9999-01-01
10852,d004,1996-11-25,9999-01-01
10853,d005,2007-07-02,9999-01-01
10854,d002,1991-01-30,1999-12-28
10855,d008,1990-07-03,9999-01-01
10856,d005,2006-03-23,9999-01-01
10857,d006,2012-06-29,9999-01-01
10858,d001,2011-08-18,9999-01-01
10859,d005,1993-07-30,9999-01-01
10860,d006,2006-06-02,9999-01-01
10861,d001,2004-06-27,2018-06-15
10862,d004,1996-02-15,9999-01-01
10863,d001,1997-02-26,2005-11-23
10864,d005,2004-09-24,9999-01-01
10865,d002,2009-09-07,2017-01-18
10866,d008,2009-09-24,9999-01-01
10867,d003,2001-06-18,2010-08-10
10868,d005,1995-04-05,9999-01-01
10869,d005,2004-08-18,9999-01-01
10870,d003,2007-08-19,9999-01-01
10871,d007,2014-12-14,9999-01-01
10872,d007,2008-02-10,9999-01-01
10873,d004,1998-01-31,9999-01-01
10874,d009,2008-04-23,9999-01-01
10875,d008,2003-06-04,9999-01-01
10876,d004,2011-09-27,9999-01-01
10877,d007,2009-06-09,9999-01-01
10878,d003,1992-08-19,9999-01-01
10879,d004,2001-06-07,9999-01-01
10880,d004,1997-02-08,9999-01-01
10881,d001,2005-04-11,9999-01-01
10882,d005,2007-11-15,9999-01-01
10883,d004,2005-02-10,9999-01-01
10884,d004,2010-06-10,9999-01-01
10885,d002,1995-03-06,2013-08-13
10886,d006,1996-02-17,2010-07-22
10887,d003,1994-08-07,2017-09-20
10888,d004,1998-12-29,9999-01-01
10889,d005,2004-09-01,9999-01-01
10890,d006,2010-09-14,9999-01-01
10891,d002,2007-08-19,9999-01-01
10892,d008,2000-04-30,9999-01-01
10893,d006,2009-07-27,9999-01-01
10894,d001,2009-06-08,9999-01-01
10895,d009,2007-08-09,9999-01-01
10896,d007,2010-09-08,2021-01-01
10897,d005,1998-05-31,9999-01-01
10898,d005,1995-01-26,9999-01-01
10899,d007,1990-01-31,2007-03-03
10900,d007,2009-05-30,9999-01-01
