emp_no,salary,from_date,to_date
10218,84611,2000-08-25,2001-08-24
10218,86794,2001-08-25,2002-08-24
10218,89240,2002-08-25,2003-08-24
10218,93045,2003-08-25,2004-08-24
10218,95848,2004-08-25,2005-08-24
10218,99491,2005-08-25,2006-08-24
10218,102887,2006-08-25,2007-08-24
10218,107888,2007-08-25,2008-08-24
10218,114100,2008-08-25,2009-08-24
10218,116350,2009-08-25,2010-08-24
10218,119530,2010-08-25,9999-01-01
10219,56051,1990-03-08,1991-03-07
10219,57796,1991-03-08,1992-03-07
10219,60274,1992-03-08,1993-03-07
10219,62089,1993-03-08,1994-03-07
10219,64114,1994-03-08,1995-03-07
10219,66385,1995-03-08,1996-03-07
10219,69911,1996-03-08,1997-03-07
10219,72609,1997-03-08,1998-03-07
10219,76932,1998-03-08,1999-03-07
10219,81422,1999-03-08,2000-03-07
10219,83980,2000-03-08,2001-03-07
10219,88999,2001-03-08,9999-01-01
10220,64896,2004-06-26,2005-06-25
10220,67135,2005-06-26,2006-06-25
10220,70020,2006-06-26,2007-06-25
10220,71457,2007-06-26,2008-06-25
10220,74369,2008-06-26,2009-06-25
10220,77717,2009-06-26,2010-06-25
10220,79727,2010-06-26,2011-06-25
10220,81635,2011-06-26,2012-06-25
10220,83521,2012-06-26,2013-06-25
10220,86263,2013-06-26,2014-06-25
10220,90989,2014-06-26,2015-06-25
10220,95893,2015-06-26,2016-06-25
10221,54594,2013-02-07,2014-02-06
10221,56077,2014-02-07,2015-02-06
10221,57833,2015-02-07,2016-02-06
10221,60824,2016-02-07,2017-02-06
10221,62596,2017-02-07,2018-02-06
10221,65667,2018-02-07,2019-02-06
10221,68606,2019-02-07,2020-02-06
10221,71495,2020-02-07,2021-02-06
10221,73953,2021-02-07,2022-02-06
10221,75633,2022-02-07,2023-02-06
10221,78960,2023-02-07,9999-01-01
10222,51288,2014-10-25,2015-10-24
10222,52924,2015-10-25,2016-10-24
10222,54786,2016-10-25,2017-10-24
10222,57544,2017-10-25,2018-10-24
10222,60079,2018-10-25,2019-10-24
10222,63576,2019-10-25,2020-10-24
10222,66662,2020-10-25,2021-10-24
10222,70633,2021-10-25,2022-10-24
10222,72752,2022-10-25,2023-10-24
10222,74450,2023-10-25,9999-01-01
10223,61265,2004-09-11,2005-09-10
10223,64278,2005-09-11,2006-09-10
10223,66818,2006-09-11,2007-09-10
10223,68725,2007-09-11,2008-09-10
10223,70828,2008-09-11,2009-09-10
10223,73841,2009-09-11,2010-09-10
10223,75409,2010-09-11,2011-09-10
10223,78198,2011-09-11,2012-09-10
10223,82435,2012-09-11,2013-09-10
10223,86789,2013-09-11,2014-09-10
10223,88126,2014-09-11,2015-09-10
10223,92319,2015-09-11,9999-01-01
10224,66705,2010-02-21,2011-02-20
10224,68612,2011-02-21,2012-02-20
10224,70125,2012-02-21,2013-02-20
10224,71729,2013-02-21,2014-02-20
10224,75270,2014-02-21,2015-02-20
10224,79266,2015-02-21,2016-02-20
10224,81032,2016-02-21,2017-02-20
10224,82713,2017-02-21,2018-02-20
10224,84285,2018-02-21,2019-02-20
10224,88118,2019-02-21,2020-02-20
10224,92653,2020-02-21,2021-02-20
10224,96771,2021-02-21,9999-01-01
10225,78582,2013-06-01,2014-05-31
10225,81974,2014-06-01,2015-05-31
10225,86514,2015-06-01,2016-05-31
10225,89365,2016-06-01,2017-05-31
10225,92162,2017-06-01,2018-05-31
10225,93672,2018-06-01,2019-05-31
10225,96223,2019-06-01,2020-05-31
10225,101493,2020-06-01,2021-05-31
10225,105311,2021-06-01,2022-05-31
10225,107344,2022-06-01,2023-05-31
10225,112869,2023-06-01,9999-01-01
10226,88825,2004-04-15,2005-04-14
10226,90902,2005-04-15,2006-04-14
10226,96195,2006-04-15,2007-04-14
10226,101597,2007-04-15,2008-04-14
10226,105883,2008-04-15,2009-04-14
10226,111871,2009-04-15,2010-04-14
10226,113621,2010-04-15,2011-04-14
10226,119225,2011-04-15,2012-04-14
10226,123779,2012-04-15,2013-04-14
10226,130127,2013-04-15,2014-04-14
10226,135419,2014-04-15,2015-04-14
10226,141086,2015-04-15,9999-01-01
10227,69064,2003-08-23,2004-08-22
10227,70174,2004-08-23,2005-08-22
10227,74236,2005-08-23,2006-08-22
10227,77198,2006-08-23,2007-08-22
10227,80611,2007-08-23,2008-08-22
10227,82484,2008-08-23,2009-08-22
10227,86707,2009-08-23,2010-08-22
10227,91654,2010-08-23,2011-08-22
10227,95208,2011-08-23,2012-08-22
10227,100608,2012-08-23,2013-08-22
10227,105262,2013-08-23,2014-08-22
10227,107376,2014-08-23,2014-09-30
10228,59127,1995-10-26,1996-10-25
10228,62577,1996-10-26,1997-10-25
10228,63517,1997-10-26,1998-10-25
10228,64821,1998-10-26,1999-10-25
10228,68579,1999-10-26,2000-10-25
10228,72408,2000-10-26,2001-10-25
10228,75485,2001-10-26,2002-10-25
10228,76717,2002-10-26,2003-10-25
10228,78971,2003-10-26,2004-10-25
10228,83069,2004-10-26,2005-03-27
10229,76355,1996-11-29,1997-11-28
10229,79373,1997-11-29,1998-11-28
10229,81858,1998-11-29,1999-11-28
10229,86242,1999-11-29,2000-11-28
10229,87702,2000-11-29,2001-11-28
10229,89021,2001-11-29,2002-11-28
10229,93437,2002-11-29,2003-11-28
10229,96327,2003-11-29,2004-11-28
10229,98310,2004-11-29,2005-11-28
10229,102464,2005-11-29,2006-11-28
10229,104036,2006-11-29,2007-11-28
10229,109778,2007-11-29,9999-01-01
10230,73774,2014-04-23,2015-04-22
10230,76269,2015-04-23,2016-04-22
10230,80227,2016-04-23,2017-04-22
10230,83083,2017-04-23,2018-04-22
10230,87956,2018-04-23,2019-04-22
10230,89637,2019-04-23,2020-04-22
10230,91272,2020-04-23,2021-04-22
10230,92758,2021-04-23,2022-04-22
10230,95860,2022-04-23,2023-04-22
10230,101132,2023-04-23,9999-01-01
10231,81537,2012-02-08,2013-02-07
10231,84092,2013-02-08,2014-02-07
10231,87450,2014-02-08,2015-02-07
10231,90711,2015-02-08,2016-02-07
10231,93147,2016-02-08,2016-11-25
10232,66468,2006-01-01,2006-12-31
10232,70115,2007-01-01,2007-12-31
10232,74254,2008-01-01,2008-12-31
10232,76981,2009-01-01,2009-12-31
10232,80784,2010-01-01,2010-12-31
10232,82262,2011-01-01,2011-12-31
10232,86213,2012-01-01,2012-12-31
10232,90174,2013-01-01,2013-12-31
10232,94506,2014-01-01,2014-12-31
10232,96015,2015-01-01,2015-12-31
10232,98457,2016-01-01,2016-12-31
10232,100699,2017-01-01,9999-01-01
10233,45906,1992-11-01,1993-10-31
10233,46836,1993-11-01,1994-10-31
10233,49013,1994-11-01,1995-10-31
10233,51079,1995-11-01,1996-10-31
10233,54095,1996-11-01,1997-10-31
10233,55353,1997-11-01,1998-10-31
10233,57507,1998-11-01,1999-10-31
10233,60241,1999-11-01,2000-10-31
10233,62554,2000-11-01,2001-10-31
10233,65737,2001-11-01,2002-10-31
10233,68870,2002-11-01,2003-10-31
10233,71575,2003-11-01,9999-01-01
10234,71513,2009-02-23,2010-02-22
10234,74991,2010-02-23,2011-02-22
10234,76847,2011-02-23,2012-02-22
10234,80615,2012-02-23,2013-02-22
10234,85082,2013-02-23,2014-02-22
10234,87334,2014-02-23,2015-02-22
10234,91710,2015-02-23,2016-02-22
10234,96595,2016-02-23,2017-02-22
10234,100592,2017-02-23,2018-02-22
10234,105047,2018-02-23,2019-02-22
10234,106642,2019-02-23,2020-02-22
10234,113019,2020-02-23,9999-01-01
10235,64875,2013-01-10,2014-01-09
10235,67150,2014-01-10,2015-01-09
10235,70399,2015-01-10,2016-01-09
10235,73776,2016-01-10,2017-01-09
10235,76491,2017-01-10,2018-01-09
10235,77668,2018-01-10,2019-01-09
10235,79931,2019-01-10,2020-01-09
10235,84132,2020-01-10,2021-01-09
10235,86569,2021-01-10,2022-01-09
10235,88144,2022-01-10,2023-01-09
10235,90191,2023-01-10,9999-01-01
10236,63796,2007-07-02,2008-07-01
10236,66977,2008-07-02,2009-07-01
10236,68850,2009-07-02,2010-07-01
10236,71220,2010-07-02,2011-07-01
10236,74283,2011-07-02,2012-07-01
10236,78035,2012-07-02,2013-07-01
10236,81297,2013-07-02,2014-07-01
10236,85015,2014-07-02,2015-07-01
10236,88278,2015-07-02,2016-07-01
10236,91028,2016-07-02,2017-07-01
10236,95248,2017-07-02,2018-07-01
10236,97189,2018-07-02,9999-01-01
10237,52030,2007-10-18,2008-10-17
10237,54242,2008-10-18,2009-10-13
10238,53642,2010-07-11,2011-07-10
10238,56626,2011-07-11,2012-07-10
10238,58160,2012-07-11,2013-07-10
10238,60222,2013-07-11,2014-07-10
10238,61798,2014-07-11,2015-07-10
10238,62765,2015-07-11,2016-07-10
10238,65242,2016-07-11,2017-07-10
10238,68694,2017-07-11,2018-07-10
10238,72169,2018-07-11,2019-07-10
10238,74200,2019-07-11,2020-07-10
10238,76623,2020-07-11,2021-07-10
10238,78182,2021-07-11,9999-01-01
10239,63106,2010-11-18,2011-11-17
10239,64608,2011-11-18,2012-11-17
10239,67934,2012-11-18,2013-11-17
10239,70868,2013-11-18,2014-11-17
10239,72152,2014-11-18,2015-11-17
10239,76074,2015-11-18,2016-11-17
10239,79801,2016-11-18,2017-11-17
10239,83307,2017-11-18,2018-11-17
10239,84780,2018-11-18,2019-11-17
10239,88555,2019-11-18,2020-11-17
10239,92988,2020-11-18,2021-11-17
10239,95066,2021-11-18,9999-01-01
10240,69883,2004-10-25,2005-10-24
10240,73185,2005-10-25,2006-10-24
10240,75292,2006-10-25,2007-10-24
10240,78218,2007-10-25,2008-10-24
10240,80000,2008-10-25,2009-10-24
10240,84750,2009-10-25,2010-10-24
10240,87304,2010-10-25,2011-10-24
10240,90162,2011-10-25,2012-10-24
10240,94999,2012-10-25,2013-10-24
10240,98590,2013-10-25,2014-10-24
10240,103494,2014-10-25,2015-10-24
10240,108824,2015-10-25,9999-01-01
10241,54695,1996-12-19,1997-12-18
10241,57477,1997-12-19,1998-12-18
10241,58825,1998-12-19,1999-12-18
10241,61831,1999-12-19,2000-12-18
10241,63988,2000-12-19,2001-12-18
10241,65470,2001-12-19,2002-12-18
10241,67507,2002-12-19,2003-12-18
10241,70965,2003-12-19,2004-12-18
10241,74213,2004-12-19,2005-12-18
10241,75423,2005-12-19,2006-12-18
10241,79306,2006-12-19,2007-12-18
10241,82160,2007-12-19,9999-01-01
10242,64856,1992-01-24,1993-01-23
10242,67477,1993-01-24,1994-01-23
10242,68927,1994-01-24,1995-01-23
10242,70753,1995-01-24,1996-01-23
10242,73164,1996-01-24,1997-01-23
10242,77439,1997-01-24,1998-01-23
10242,81032,1998-01-24,1999-01-23
10242,83456,1999-01-24,2000-01-23
10242,87045,2000-01-24,2001-01-23
10242,92054,2001-01-24,2002-01-23
10242,94560,2002-01-24,2003-01-23
10242,98156,2003-01-24,2004-01-23
10243,75835,1991-03-02,1992-03-01
10243,77375,1992-03-02,1993-03-01
10243,81348,1993-03-02,1994-03-01
10243,84516,1994-03-02,1995-03-01
10243,86364,1995-03-02,1996-03-01
10243,90071,1996-03-02,1997-03-01
10243,94759,1997-03-02,1998-03-01
10243,96451,1998-03-02,1999-03-01
10243,101223,1999-03-02,2000-03-01
10243,105162,2000-03-02,2001-03-01
10243,107088,2001-03-02,2002-03-01
10243,108869,2002-03-02,9999-01-01
10244,48277,2000-01-30,2001-01-29
10244,50583,2001-01-30,2002-01-29
10244,53167,2002-01-30,2003-01-29
10244,54591,2003-01-30,2004-01-29
10244,56298,2004-01-30,2005-01-29
10244,59410,2005-01-30,2006-01-29
10244,62774,2006-01-30,2007-01-29
10244,64803,2007-01-30,2008-01-29
10244,66312,2008-01-30,2009-01-29
10244,70271,2009-01-30,2010-01-29
10244,72370,2010-01-30,2011-01-29
10244,74441,2011-01-30,2012-01-29
10245,58028,1993-10-16,1994-10-15
10245,60869,1994-10-16,1995-10-15
10245,63908,1995-10-16,1996-10-15
10245,66821,1996-10-16,1997-10-15
10245,68788,1997-10-16,1998-10-15
10245,71811,1998-10-16,1999-10-15
10245,75332,1999-10-16,2000-10-15
10245,79477,2000-10-16,2001-10-15
10245,83468,2001-10-16,2002-10-15
10245,85272,2002-10-16,2003-10-15
10245,88420,2003-10-16,2004-10-15
10245,90761,2004-10-16,9999-01-01
10246,88005,2001-03-27,2002-03-26
10246,91667,2002-03-27,2003-03-26
10246,94577,2003-03-27,2004-03-26
10246,97134,2004-03-27,2005-03-26
10246,100707,2005-03-27,2006-03-26
10246,106078,2006-03-27,2007-03-26
10246,110555,2007-03-27,2008-03-26
10246,116194,2008-03-27,2009-03-26
10246,120442,2009-03-27,2010-03-26
10246,127595,2010-03-27,2011-03-26
10246,134830,2011-03-27,2012-03-26
10246,140815,2012-03-27,9999-01-01
10247,85904,2004-09-18,2005-09-17
10247,87428,2005-09-18,2006-09-17
10247,92012,2006-09-18,2007-09-17
10247,94451,2007-09-18,2008-09-17
10247,96267,2008-09-18,2009-09-17
10247,101388,2009-09-18,2010-09-17
10247,103856,2010-09-18,2011-09-17
10247,109708,2011-09-18,2012-09-17
10247,112829,2012-09-18,2013-09-17
10247,115937,2013-09-18,2014-09-17
10247,122282,2014-09-18,2015-09-17
10247,129373,2015-09-18,9999-01-01
10248,60929,1991-04-09,1992-04-08
10248,62014,1992-04-09,1993-04-08
10248,65228,1993-04-09,1994-04-08
10248,66549,1994-04-09,1995-04-08
10248,67556,1995-04-09,1996-04-08
10248,69779,1996-04-09,1997-04-08
10248,72357,1997-04-09,1998-04-08
10248,73686,1998-04-09,1999-04-08
10248,74951,1999-04-09,2000-04-08
10248,78899,2000-04-09,2001-04-08
10248,81760,2001-04-09,2002-04-08
10248,86425,2002-04-09,9999-01-01
10249,59286,2007-08-19,2008-08-18
10249,61130,2008-08-19,2009-08-18
10249,63176,2009-08-19,2010-08-18
10249,64665,2010-08-19,2011-08-18
10249,66906,2011-08-19,2012-08-18
10249,68271,2012-08-19,2013-08-18
10249,71967,2013-08-19,2014-08-18
10249,74874,2014-08-19,2015-08-18
10249,78740,2015-08-19,2016-08-18
10249,80681,2016-08-19,2017-08-18
10249,82511,2017-08-19,2018-08-18
10249,87372,2018-08-19,9999-01-01
10250,78791,2014-09-08,2015-09-07
10250,82170,2015-09-08,2016-09-07
10250,85028,2016-09-08,2017-09-07
10250,87045,2017-09-08,2018-09-07
10250,89443,2018-09-08,2019-09-07
10250,92021,2019-09-08,2020-09-07
10250,96146,2020-09-08,2021-09-07
10250,99115,2021-09-08,2022-09-07
10250,102822,2022-09-08,2023-09-07
10250,106482,2023-09-08,9999-01-01
10251,73965,1991-07-07,1992-07-06
10251,76049,1992-07-07,1993-07-06
10251,77970,1993-07-07,1994-07-06
10251,81165,1994-07-07,1995-07-06
10251,84346,1995-07-07,1996-07-06
10251,85813,1996-07-07,1997-07-06
10251,89433,1997-07-07,1998-07-06
10251,91302,1998-07-07,1999-07-06
10251,94368,1999-07-07,2000-07-06
10251,97415,2000-07-07,2001-07-06
10251,103011,2001-07-07,2002-07-06
10251,105202,2002-07-07,2003-07-06
10252,43193,2008-05-14,2009-05-13
10252,44915,2009-05-14,2010-05-13
10252,46303,2010-05-14,2011-05-13
10252,47765,2011-05-14,2012-05-13
10252,50385,2012-05-14,2013-05-13
10252,53173,2013-05-14,2014-05-13
10252,55569,2014-05-14,2015-05-13
10252,56814,2015-05-14,2016-05-13
10252,59658,2016-05-14,2017-05-13
10252,61548,2017-05-14,2018-05-13
10252,63339,2018-05-14,2019-05-13
10252,66320,2019-05-14,9999-01-01
10253,71159,2008-10-07,2009-10-06
10253,73961,2009-10-07,2010-10-06
10253,76819,2010-10-07,2011-10-06
10253,78358,2011-10-07,2012-10-06
10253,82390,2012-10-07,2013-10-06
10253,86125,2013-10-07,2014-10-06
10253,88796,2014-10-07,2015-10-06
10253,91675,2015-10-07,2016-10-06
10253,95122,2016-10-07,2017-10-06
10253,98663,2017-10-07,2018-10-06
10253,100845,2018-10-07,2019-10-06
10253,102725,2019-10-07,9999-01-01
10254,89645,1995-10-27,1996-10-26
10254,91856,1996-10-27,1997-10-26
10254,96116,1997-10-27,1998-10-26
10254,97773,1998-10-27,1999-10-26
10254,99711,1999-10-27,2000-10-26
10254,102904,2000-10-27,2001-10-26
10254,106981,2001-10-27,2002-10-26
10254,109428,2002-10-27,2003-10-26
10254,114959,2003-10-27,2004-10-26
10254,120041,2004-10-27,2005-10-26
10254,122501,2005-10-27,2006-10-26
10254,128187,2006-10-27,9999-01-01
10255,66379,1999-12-11,2000-12-10
10255,70072,2000-12-11,2001-12-10
10255,74046,2001-12-11,2002-12-10
10255,76301,2002-12-11,2003-12-10
10255,78388,2003-12-11,2004-12-10
10255,81687,2004-12-11,2005-12-10
10255,83014,2005-12-11,2006-12-10
10255,86319,2006-12-11,2007-12-10
10255,89447,2007-12-11,2008-12-10
10255,91660,2008-12-11,2009-12-10
10255,94650,2009-12-11,2010-12-10
10255,99025,2010-12-11,2011-12-10
10256,69753,2003-05-27,2004-05-26
10256,73321,2004-05-27,2005-05-26
10256,74640,2005-05-27,2006-05-26
10256,77463,2006-05-27,2007-05-26
10256,81894,2007-05-27,2008-05-26
10256,83561,2008-05-27,2009-05-26
10256,84893,2009-05-27,2010-05-26
10256,88497,2010-05-27,2011-05-26
10256,92861,2011-05-27,2012-05-26
10256,98123,2012-05-27,2013-05-26
10256,101025,2013-05-27,2014-05-26
10256,104876,2014-05-27,2015-05-26
10257,62557,2006-05-07,2007-05-06
10257,65900,2007-05-07,2008-05-06
10257,69655,2008-05-07,2009-05-06
10257,71935,2009-05-07,2010-05-06
10257,73138,2010-05-07,2011-05-06
10257,75437,2011-05-07,2012-05-06
10257,77412,2012-05-07,2013-05-06
10257,78914,2013-05-07,2014-05-06
10257,81724,2014-05-07,2015-05-06
10257,85044,2015-05-07,2016-05-06
10257,87271,2016-05-07,2017-05-06
10257,90486,2017-05-07,9999-01-01
10258,75394,1990-08-17,1991-08-16
10258,79345,1991-08-17,1992-08-16
10258,80771,1992-08-17,1993-08-16
10258,84115,1993-08-17,1994-08-16
10258,88926,1994-08-17,1995-08-16
10258,92796,1995-08-17,1996-08-16
10258,97103,1996-08-17,1997-08-16
10258,100640,1997-08-17,1998-08-16
10258,104497,1998-08-17,1999-08-16
10258,107597,1999-08-17,2000-08-16
10258,113955,2000-08-17,2001-08-16
10258,117650,2001-08-17,9999-01-01
10259,53281,1998-10-08,1999-10-07
10259,54088,1999-10-08,2000-10-07
10259,55969,2000-10-08,2001-10-07
10259,56904,2001-10-08,2002-10-07
10259,59320,2002-10-08,2003-10-07
10259,62302,2003-10-08,2004-10-07
10259,64933,2004-10-08,2005-10-07
10259,68084,2005-10-08,2006-10-07
10259,69873,2006-10-08,2007-10-07
10259,71120,2007-10-08,2008-10-07
10259,74415,2008-10-08,2009-10-07
10259,77510,2009-10-08,9999-01-01
10260,47238,1999-04-01,2000-03-31
10260,49320,2000-04-01,2001-03-31
10260,50327,2001-04-01,2002-03-31
10260,51741,2002-04-01,2003-03-31
10260,53085,2003-04-01,2004-03-31
10260,54057,2004-04-01,2005-03-31
10260,56856,2005-04-01,2006-03-31
10260,58796,2006-04-01,2007-03-31
10260,60229,2007-04-01,2008-03-31
10260,62420,2008-04-01,2009-03-31
10260,64060,2009-04-01,2010-03-31
10260,67201,2010-04-01,9999-01-01
10261,72175,1998-04-02,1999-04-01
10261,74939,1999-04-02,2000-04-01
10261,77972,2000-04-02,2001-04-01
10261,81655,2001-04-02,2002-04-01
10261,84770,2002-04-02,2003-04-01
10261,87203,2003-04-02,2004-04-01
10261,88655,2004-04-02,2005-04-01
10261,93444,2005-04-02,2006-04-01
10261,96604,2006-04-02,2007-04-01
10261,101179,2007-04-02,2008-04-01
10261,105315,2008-04-02,2009-04-01
10261,109270,2009-04-02,9999-01-01
10262,79925,2003-09-23,2004-09-22
10262,84679,2004-09-23,2005-09-22
10262,89320,2005-09-23,2006-09-22
10262,90949,2006-09-23,2007-09-22
10262,93474,2007-09-23,2008-09-22
10262,96385,2008-09-23,2009-09-22
10262,98687,2009-09-23,2010-09-22
10262,102431,2010-09-23,2011-09-22
10262,104222,2011-09-23,2012-09-22
10262,107527,2012-09-23,2013-09-22
10262,111714,2013-09-23,2014-09-22
10262,118173,2014-09-23,9999-01-01
10263,68084,2013-10-09,2014-10-08
10263,71941,2014-10-09,2015-10-08
10263,74490,2015-10-09,2016-10-08
10263,75878,2016-10-09,2017-10-08
10263,79373,2017-10-09,2018-10-08
10263,81453,2018-10-09,2019-10-08
10263,83053,2019-10-09,2020-10-08
10263,85939,2020-10-09,2021-10-08
10263,90560,2021-10-09,2022-10-08
10263,92834,2022-10-09,2023-10-08
10263,97268,2023-10-09,9999-01-01
10264,62136,2012-06-15,2013-06-14
10264,63488,2013-06-15,2014-06-14
10264,65689,2014-06-15,2015-06-14
10264,68260,2015-06-15,2016-06-14
10264,69368,2016-06-15,2017-06-14
10264,71460,2017-06-15,2018-06-14
10264,73786,2018-06-15,2019-06-14
10264,75883,2019-06-15,2020-06-14
10264,79878,2020-06-15,2021-06-14
10264,81165,2021-06-15,2022-06-14
10264,83181,2022-06-15,2023-06-14
10264,85789,2023-06-15,9999-01-01
10265,57371,2013-01-15,2014-01-14
10265,59918,2014-01-15,2015-01-14
10265,61242,2015-01-15,2016-01-14
10265,62859,2016-01-15,2017-01-14
10265,66307,2017-01-15,2018-01-14
10265,69525,2018-01-15,2019-01-14
10265,71679,2019-01-15,2020-01-14
10265,73226,2020-01-15,2021-01-14
10265,75903,2021-01-15,2022-01-14
10265,79796,2022-01-15,2023-01-14
10265,83062,2023-01-15,9999-01-01
10266,80113,1997-07-03,1998-07-02
10266,83916,1998-07-03,1999-07-02
10266,87974,1999-07-03,2000-07-02
10266,92559,2000-07-03,2001-07-02
10266,94297,2001-07-03,2002-07-02
10266,98418,2002-07-03,2003-02-11
10267,62418,1998-11-28,1999-11-27
10267,64762,1999-11-28,2000-11-27
10267,68317,2000-11-28,2001-11-27
10267,71004,2001-11-28,2002-11-27
10267,73619,2002-11-28,2003-11-27
10267,74962,2003-11-28,2004-11-27
10267,76235,2004-11-28,2005-11-27
10267,77636,2005-11-28,2006-11-27
10267,81354,2006-11-28,2007-11-27
10267,84540,2007-11-28,2008-11-27
10267,85879,2008-11-28,2009-11-27
10267,90342,2009-11-28,9999-01-01
10268,64437,1996-09-04,1997-09-03
10268,66562,1997-09-04,1998-09-03
10268,68410,1998-09-04,1999-09-03
10268,71538,1999-09-04,2000-09-03
10268,72912,2000-09-04,2001-09-03
10268,75675,2001-09-04,2002-09-03
10268,76928,2002-09-04,2003-09-03
10268,81355,2003-09-04,2004-09-03
10268,85011,2004-09-04,2005-09-03
10268,89831,2005-09-04,2006-09-03
10268,92040,2006-09-04,2007-09-03
10268,95006,2007-09-04,9999-01-01
10269,67946,1993-01-21,1994-01-20
10269,70692,1994-01-21,1995-01-20
10269,72703,1995-01-21,1996-01-20
10269,75118,1996-01-21,1997-01-20
10269,79036,1997-01-21,1998-01-20
10269,82385,1998-01-21,1999-01-20
10269,84730,1999-01-21,2000-01-20
10269,89346,2000-01-21,2001-01-20
10269,94557,2001-01-21,2002-01-20
10269,98728,2002-01-21,2003-01-20
10269,101689,2003-01-21,2004-01-20
10269,107596,2004-01-21,9999-01-01
10270,71567,2010-12-15,2011-12-14
10270,72672,2011-12-15,2012-12-14
10270,74644,2012-12-15,2013-12-14
10270,77288,2013-12-15,2014-12-14
10270,80906,2014-12-15,2015-12-14
10270,85047,2015-12-15,2016-12-14
10270,87448,2016-12-15,2017-12-14
10270,92236,2017-12-15,2018-12-14
10270,95415,2018-12-15,2019-12-14
10270,98982,2019-12-15,2020-12-14
10270,101677,2020-12-15,2021-12-14
10270,105175,2021-12-15,9999-01-01
10271,45907,2006-12-13,2007-12-12
10271,47991,2007-12-13,2008-12-12
10271,50092,2008-12-13,2009-12-12
10271,50874,2009-12-13,2010-12-12
10271,52257,2010-12-13,2011-12-12
10271,55145,2011-12-13,2012-12-12
10271,56826,2012-12-13,2013-12-12
10271,60041,2013-12-13,2014-12-12
10271,62607,2014-12-13,2015-12-12
10271,63665,2015-12-13,2016-12-12
10271,65898,2016-12-13,2017-12-12
10271,68647,2017-12-13,9999-01-01
10272,54649,1991-08-24,1992-08-23
10272,56386,1992-08-24,1993-08-23
10272,57878,1993-08-24,1994-08-23
10272,58789,1994-08-24,1995-08-23
10272,60102,1995-08-24,1996-08-23
10272,63289,1996-08-24,1997-08-23
10272,64364,1997-08-24,1998-08-23
10272,66667,1998-08-24,1999-08-23
10272,69440,1999-08-24,2000-08-23
10272,70824,2000-08-24,2001-08-23
10272,73037,2001-08-24,2002-08-23
10272,74612,2002-08-24,9999-01-01
10273,68735,2004-11-07,2005-11-06
10273,71844,2005-11-07,2006-11-06
10273,75804,2006-11-07,2007-11-06
10273,78175,2007-11-07,2008-11-06
10273,80517,2008-11-07,2009-11-06
10273,84522,2009-11-07,2010-11-06
10273,88682,2010-11-07,2011-11-06
10273,91904,2011-11-07,2012-11-06
10273,94383,2012-11-07,2013-11-06
10273,96902,2013-11-07,2014-11-06
10273,102186,2014-11-07,2015-11-06
10273,104311,2015-11-07,9999-01-01
10274,60631,2002-02-25,2003-02-24
10274,62334,2003-02-25,2004-02-24
10274,65706,2004-02-25,2005-02-24
10274,69454,2005-02-25,2006-02-24
10274,73212,2006-02-25,2007-02-24
10274,77421,2007-02-25,2008-02-24
10274,81228,2008-02-25,2009-02-24
10274,84638,2009-02-25,2010-02-24
10274,87321,2010-02-25,2011-02-24
10274,91353,2011-02-25,2012-02-24
10274,95207,2012-02-25,2013-02-24
10274,100714,2013-02-25,9999-01-01
10275,60465,2010-09-13,2011-09-12
10275,63611,2011-09-13,2012-01-26
10276,39313,2000-08-25,2001-08-24
10276,40544,2001-08-25,2002-08-24
10276,41364,2002-08-25,2003-08-24
10276,42872,2003-08-25,2004-08-24
10276,44345,2004-08-25,2005-08-24
10276,45552,2005-08-25,2006-08-24
10276,46880,2006-08-25,2007-08-24
10276,48045,2007-08-25,2008-08-24
10276,50853,2008-08-25,2009-08-24
10276,53834,2009-08-25,2010-08-24
10276,55285,2010-08-25,2011-08-24
10276,57590,2011-08-25,9999-01-01
10277,63398,1999-12-16,2000-12-15
10277,67108,2000-12-16,2001-12-15
10277,70139,2001-12-16,2002-12-15
10277,74257,2002-12-16,2003-12-15
10277,78175,2003-12-16,2004-12-15
10277,79938,2004-12-16,2005-12-15
10277,82472,2005-12-16,2006-12-15
10277,86828,2006-12-16,2007-12-15
10277,89280,2007-12-16,2008-12-15
10277,91607,2008-12-16,2009-12-15
10277,95852,2009-12-16,2010-12-15
10277,99094,2010-12-16,9999-01-01
10278,67352,2001-05-03,2002-05-02
10278,69800,2002-05-03,2003-05-02
10278,73102,2003-05-03,2004-05-02
10278,75430,2004-05-03,2005-05-02
10278,76839,2005-05-03,2006-05-02
10278,80000,2006-05-03,2007-05-02
10278,84470,2007-05-03,2008-05-02
10278,88829,2008-05-03,2009-05-02
10278,91076,2009-05-03,2010-05-02
10278,92579,2010-05-03,2011-05-02
10278,95423,2011-05-03,2012-05-02
10278,100767,2012-05-03,9999-01-01
10279,64673,2014-05-09,2015-05-08
10279,67965,2015-05-09,2016-05-08
10279,71238,2016-05-09,2017-05-08
10279,74787,2017-05-09,2018-05-08
10279,78614,2018-05-09,2019-05-08
10279,79940,2019-05-09,2019-11-03
10280,68675,1999-09-04,2000-09-03
10280,70840,2000-09-04,2001-09-03
10280,72940,2001-09-04,2002-09-03
10280,76749,2002-09-04,2003-09-03
10280,80824,2003-09-04,2004-09-03
10280,83434,2004-09-04,2005-09-03
10280,85367,2005-09-04,2006-09-03
10280,89157,2006-09-04,2007-09-03
